keyword,dfs_search_volume,dfs_cpc,dfs_competition,dfs_competition_level,gsc_impressions,gsc_clicks,gsc_ctr,gsc_avg_position,fetched_at
ranch camera,,,,,20.0,2.0,0.1,6.9,2026-02-03T19:34:47.413423+00:00
ranch cameras,,,,,29.0,0.0,0.0,25.724137931034484,2026-02-03T19:34:47.413423+00:00
ranch security camera,30,4.22,HIGH,,,,,,2026-02-03T19:34:47.413423+00:00
security cameras for ranch,,,,,,,,,2026-02-03T19:34:47.413423+00:00
cellular ranch camera,,,,,,,,,2026-02-03T19:34:47.413423+00:00
4g ranch camera,,,,,,,,,2026-02-03T19:34:47.413423+00:00
lte ranch camera,,,,,,,,,2026-02-03T19:34:47.413423+00:00
solar ranch camera,,,,,,,,,2026-02-03T19:34:47.413423+00:00
off grid ranch camera,,,,,,,,,2026-02-03T19:34:47.413423+00:00
ranch gate camera,,,,,,,,,2026-02-03T19:34:47.413423+00:00
